AuthorID,Author,Date,Content,Attachments,Reactions
"713505868775293011","grant1089","2025-06-28T08:40:38.7150000+09:30","Sniffing around for Deathsquad hmu","",""
"1251743246380564593","gowaltza","2025-06-28T08:45:48.1820000+09:30","https://tenor.com/view/role-reversal-made-in-america-2025-outsourcing-parody-manufacturing-humor-american-factory-gif-16296611069109796590","",""
"779549675035688960","dom0.0.0","2025-06-28T08:49:33.9700000+09:30","swear i js gave u that","",""
"779549675035688960","dom0.0.0","2025-06-28T08:49:38.3160000+09:30","or was it a different one","",""
"713505868775293011","grant1089","2025-06-28T08:49:59.2710000+09:30","No maybe U did in testing","",""
"603004176389242890","kboard","2025-06-28T09:50:58.8650000+09:30","~~LOOKING FOR **BUG WEBBED TRUCKS**~~","",""
"603004176389242890","kboard","2025-06-28T09:51:58.7720000+09:30","~~OFFERING **CATZ** DECK~~","",""
"603004176389242890","kboard","2025-06-28T09:52:04.7440000+09:30","~~Hmu dms~~","",""
"1099490185818943498","hieverybodyever","2025-06-28T16:53:51.4580000+09:30","SHUT","",""
"713505868775293011","grant1089","2025-06-29T03:17:21.8120000+09:30","Need that Smooch griptape","",""
"1193562966445015070","ps_lol.","2025-06-29T03:37:34.1670000+09:30","e","",""
"283790063765291028","mxndopro","2025-06-29T03:38:06.3000000+09:30","down to trade one of my purple hollows for bug webs","https://cdn.discordapp.com/attachments/1381003312866001037/1388581743610691790/image.png?ex=68a171c6&is=68a02046&hm=1d0ea315604db92f62da01891447715654eafde3683f3858f6b57b963ff5d578&","❌ (1)"
"1086706689455177749","fc1131","2025-06-29T04:22:36.4870000+09:30","trading these two wheels","https://cdn.discordapp.com/attachments/1381003312866001037/1388592943023263835/image.png?ex=68a17c34&is=68a02ab4&hm=700e7e3828e2da00839219fce5728489276219b6f033a9cd5b13af5baf34e773&",""
"1086706689455177749","fc1131","2025-06-29T04:23:18.2040000+09:30","second one is 1.5% chance of appearing","",""
"1086706689455177749","fc1131","2025-06-29T04:23:19.9310000+09:30","","https://cdn.discordapp.com/attachments/1381003312866001037/1388593125374824579/image.png?ex=68a17c5f&is=68a02adf&hm=7584a2d5d1ac2541c933702ae071e88ed4c497a09516366c53906a2a841309fb&",""
"1086706689455177749","fc1131","2025-06-29T04:23:31.5150000+09:30","same with second one","",""
"603004176389242890","kboard","2025-06-29T05:15:11.2160000+09:30","~~LOOKING FOR **DEATH SQUAD** (DECK)~~
~~OFFER IS **DEALS** OR **PINKYS** (WHEELS)~~
~~Hmu Dm~~","",""
"1086706689455177749","fc1131","2025-06-29T05:16:14.7250000+09:30","yo which box is that deck in?","",""
